topic,app,applicationCategory,systemBandwidth,commChannelLossAN,commChannelLossRT,commChannelLossTS,commChannelLossVS,brokerCapacity,priority,priorityID,processingRate,publishFrequency,messageSize,scenario_case,latency
printing,app14,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.9427133280323736
printing,app15,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.972581412390925
printing,app16,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.9764708040535552
printing,app17,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.961564083463943
printing,app18,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.9929489472289226
printing,app2,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.9241221903805457
printing,app4,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.931250786849074
printing,app5,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.9043911442816506
smartthings,app11,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,205264.41,80,3.884954565234033
smartthings,app14,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,205264.41,80,3.8291303307979554
smartthings,app1,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,205264.41,80,3.8442662623325097
smartthings,app21,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,205264.41,80,3.900289318145174
smartthings,app28,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,205264.41,80,3.942687850605199
smartthings,app3,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,205264.41,80,3.91068243067078
smartthings,app8,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,205264.41,80,3.974282828844813
videosurveillance,app26,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,14310092.37,80,3.8016895457678856
videosurveillance,app36,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,14310092.37,80,3.792736578475431
videosurveillance,app37,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,14310092.37,80,3.778094508421865
videosurveillance,app38,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,14310092.37,80,3.765815698553585
videosurveillance,app39,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,14310092.37,80,3.7744514694556974
videosurveillance,app46,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,14310092.37,80,3.798705744979207
videosurveillance,app4,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,14310092.37,80,3.7924178132352777
